"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"44112120-5","Profilu sekcijas.","Profile sections","preces"
"44112200-0","Grīdu segumi.","Floor coverings","preces"
"44112210-3","Cietās grīdas.","Solid flooring","preces"
"44112220-6","Pagaidu grīdas.","False floors","preces"
"44112230-9","Linolejs.","Linoleum","preces"
"44112240-2","Parkets.","Parquet","preces"
"44112300-1","Atdalošie elementi.","Partitions","preces"
"44112310-4","Starpsienas.","Partition walls","preces"
"44112400-2","Jumts.","Roof","preces"
"44112410-5","Jumta karkasi.","Roof frames","preces"
"44112420-8","Jumta balsti.","Roof supports","preces"
"44112430-1","Jumta brusas.","Roof trusses","preces"
"44112500-3","Jumta materiāli.","Roofing materials","preces"
"44112510-6","Jumta lubiņas.","Shingles","preces"
"44112600-4","Skaņas izolācija.","Sound insulation","preces"
"44112700-5","Baļķi.","Beams","preces"
"44113000-5","Ceļu būves materiāli.","Road-construction materials","preces"
"44113100-6","Ielas seguma materiāli.","Paving materials","preces"
"44113120-2","Ceļu seguma plāksnes.","Paving slabs","preces"
"44113130-5","Bruģakmeņi.","Paving stones","preces"
"44113140-8","Ceļa seguma akmeņi.","Roadstone","preces"
"44113200-7","Akmens plāksnes.","Flagstones","preces"
"44113300-8","Ar īpašu materiālu pārklāti materiāli.","Coated materials","preces"
"44113310-1","Ar īpašu materiālu pārklāti ceļu būves materiāli.","Coated road materials","preces"
"44113320-4","Bitumena šķembas.","Coated roadstone","preces"
"44113330-7","Pārklājamie materiāli.","Coating materials","preces"
"44113500-0","Stikla pērlītes.","Glass beads","preces"
"44113600-1","Bitumens un asfalts.","Bitumen and asphalt","preces"
"44113610-4","Bitumens.","Bitumen","preces"
"44113620-7","Asfalts.","Asphalt","preces"
"44113700-2","Ceļu remonta materiāli.","Road-repair materials","preces"
"44113800-3","Ceļu seguma materiāli.","Road-surfacing materials","preces"
"44113810-6","Ceļu virskārtas pārklājumi.","Surface dressing","preces"
"44113900-4","Ceļu uzturēšanas materiāli.","Road-maintenance materials","preces"
"44113910-7","Ceļu uzturēšanas materiāli ziemas apstākļos.","Winter-maintenance materials","preces"
"44114000-2","Betons.","Concrete","preces"
"44114100-3","Maisītais betons.","Ready-mixed concrete","preces"
"44114200-4","Betona izstrādājumi.","Concrete products","preces"
"44114210-7","Betona pāļi.","Concrete piles","preces"
"44114220-0","Betona caurules un veidgabali.","Concrete pipes and fittings","preces"
"44114250-9","Betona plātnes.","Concrete slabs","preces"
"44115000-9","Ēku būvniecības piederumi.","Building fittings","preces"
"44115100-0","Cauruļvadi.","Ducting","preces"
"44115200-1","Santehnikas un apkures sistēmu materiāli.","Plumbing and heating materials","preces"
"44115210-4","Santehnikas materiāli.","Plumbing materials","preces"
"44115220-7","Apkures sistēmas materiāli.","Heating materials","preces"
"44115310-5","Ruļļveida žalūzijas.","Roller-type shutters","preces"
"44115400-3","Jumta logi.","Skylights","preces"
"44115500-4","Ūdens izsmidzināšanas sistēmas.","Sprinkler systems","preces"
"44115600-5","Pacēlājlifti.","Stairlifts","preces"
"44115700-6","Ārējās aizlaidnes.","Exterior blinds","preces"
"44115710-9","Pārsegi.","Canopies","preces"
"44115800-7","Ēku iekšējās apdares materiāli.","Building internal fittings","preces"
"44115810-0","Aizkaru sliedes un piekares.","Curtain rails and hangings","preces"
"44115811-7","Aizkaru sliedes.","Curtain rails","preces"
"44115900-8","Ierīces aizsardzībai pret saulesgaismu.","Sun protection devices","preces"
"44130000-0","Kanalizācijas šahtas.","Sewer mains","preces"
"44131000-7","Kanalizācijas kameras.","Sewage chambers","preces"
"44132000-4","Kanalizācijas cauruļu elementi.","Culvert elements","preces"
"44133000-1","Čuguna uzgaļi.","Ductile-iron end caps","preces"
"44134000-8","Līkumi.","Bends","preces"
"44140000-3","Ar celtniecības materiāliem saistīti izstrādājumi.","Products related to construction materials","preces"
"44141000-0","Kabeļkanāli.","Conduit","preces"
"44141100-1","Elektriskie kabeļkanāli.","Electric conduit","preces"
"44142000-7","Karkasi.","Frames","preces"
"44143000-4","Paletes.","Pallets","preces"
"44144000-1","Stabi.","Posts","preces"
"44160000-9","Cauruļvadi, cauruļvadu līnijas, caurules, apvalki, un saistīti izstrādājumi.","Pipeline, piping, pipes, casing, tubing and related items","preces"
"44161000-6","Cauruļvadu līnijas.","Pipelines","preces"
"44161100-7","Gāzes cauruļvadi.","Gas pipelines","preces"
"44161110-0","Gāzes sadales tīkls.","Gas-distribution network","preces"
"44161200-8","Ūdensvadi.","Water mains","preces"
"44161400-0","Zemūdens cauruļvadu līnijas.","Underwater pipeline","preces"
"44161410-3","Zemjūras cauruļvadu līnijas.","Subsea pipelines","preces"
"44161500-1","Augstspiediena cauruļvadu līnijas.","High-pressure pipeline","preces"
"44161600-2","Zemspiediena cauruļvadu līnijas.","Low-pressure pipeline","preces"
"44161700-3","Cauruļvadu tīrīšanas ierīces.","Pipeline pigs","preces"
"44161710-6","Cauruļvadu tīrīšanas ierīču palaidējiekārtas.","Pig launchers","preces"
"44161720-9","Cauruļvadu tīrīšanas ierīču saņēmējiekārtas.","Pig receivers","preces"
"44161730-2","Cauruļvadu tīrīšanas ierīču slazdi.","Pig traps","preces"
"44162000-3","Cauruļvadu sistēmas.","Piping","preces"
"44162100-4","Cauruļvadu sistēmu materiāli.","Piping supplies","preces"
"44162200-5","Sadales cauruļvadu sistēmas.","Distribution piping","preces"
"44162300-6","Izplūdes caurules.","Outfall piping","preces"
"44162400-7","Stiklkeramikas lūkas.","Vitrified clay manholes","preces"
"44162500-8","Dzeramā ūdens cauruļvadu sistēmas.","Drinking-water piping","preces"
"44163000-0","Cauruļvadi un veidgabali.","Pipes and fittings","preces"
"44163100-1","Caurules.","Pipes","preces"
"44163110-4","Drenāžas caurules.","Drainage pipes","preces"
"44163111-1","Novadcaurules.","Drain pipes","preces"
"44163112-8","Drenāžas sistēmas.","Drainage system","preces"
"44163120-7","Centrālapkures tīklu cauruļvadi.","Distance-heating pipes","preces"
"44163121-4","Apkures cauruļvadi.","Heating pipes","preces"
"44163130-0","Kanalizācijas caurules.","Sewer pipes","preces"
"44163140-3","Tvaika un ūdens cauruļvadi.","Steam and water pipes","preces"
"44163150-6","Zemspiediena cauruļvadi.","Low-pressure pipes","preces"
"44163160-9","Sadales tīklu cauruļvadi un piederumi.","Distribution pipes and accessories","preces"
"44163200-2","Cauruļu veidgabali.","Pipe fittings","preces"
"44163210-5","Cauruļvadu skavas.","Pipe clamps","preces"
"44163230-1","Cauruļu savienotājelementi.","Pipe connectors","preces"
"44163240-4","Cauruļu savienojumi.","Pipe joints","preces"
"44163241-1","Izolēti savienojumi.","Insulated joints","preces"
"44164000-7","Apvalki un caurules.","Casing and tubing","preces"
"44164100-8","Apvalki (kabeļiem).","Casing","preces"
"44164200-9","Cauruļvadu sistēma.","Tubing","preces"
"44164300-0","Cauruļveida izstrādājumi.","Tubular goods","preces"
"44164310-3","Caurules un veidgabali.","Tubes and fittings","preces"
"44165000-4","Šļūtenes, stāvvadi un uzmavas.","Hoses, risers and sleeves","preces"
"44165100-5","Šļūtenes.","Hoses","preces"
"44165110-8","Urbšanas šļūtenes.","Drilling hoses","preces"
"44165200-6","Stāvvadi.","Risers","preces"
"44165210-9","Elastīgi stāvvadi.","Flexible risers","preces"
"44165300-7","Uzmavas.","Sleeves","preces"
"44166000-1","Cauruļveida izstrādājumi naftas ieguves objektiem.","Oil country tubular goods","preces"
"44167000-8","Dažādi cauruļu veidgabali.","Various pipe fittings","preces"
"44167100-9","Savienojumi.","Couplings","preces"
"44167110-2","Atloki.","Flanges","preces"
"44167111-9","Atloka adapteri.","Flange adaptors","preces"
"44167200-0","Spīļu skavas un ieliktņi.","Repair clamps and collars","preces"
"44167300-1","Liekumi, T–veida savienojumi un cauruļvadu veidgabali.","Bends, tees and pipe fittings","preces"
"44167400-2","Liekumi.","Elbows","preces"
"44170000-2","Plates, loksnes, lentes un folijas, kas saistītas ar celtniecības materiāliem.","Plates, sheets, strip and foil related to construction materials","preces"
"44171000-9","Plates (celtniecība).","Plates (construction)","preces"
"44172000-6","Loksnes (celtniecība).","Sheets (construction)","preces"
"44173000-3","Lentes.","Strip","preces"
"44174000-0","Folijas.","Foil","preces"
"44175000-7","Plātnes.","Panels","preces"
"44176000-4","Plēve.","Film","preces"
"44190000-8","Dažādi celtniecības materiāli.","Miscellaneous construction materials","preces"
"44191000-5","Dažādi celtniecības kokmateriāli.","Miscellaneous construction materials in wood","preces"
"44191100-6","Saplāksnis.","Plywood","preces"
"44191200-7","Līmētā koksne.","Laminated wood","preces"
"44191300-8","Kokskaidas plātnes.","Particle board","preces"
"44191400-9","Kokšķiedras plātnes.","Fibreboard","preces"
"44191500-0","Blīvināta koksne.","Densified wood","preces"
"44191600-1","Parketa plātnes.","Parquet panels","preces"
"44192000-2","Citi dažādi celtniecības materiāli.","Other miscellaneous construction materials","preces"
"44192100-3","Polivinilhlorīda putas.","PVC foam","preces"
"44192200-4","Naglas.","Nails","preces"
"44200000-2","Konstrukciju izstrādājumi.","Structural products","preces"
"44210000-5","Konstrukcijas un konstrukciju detaļas.","Structures and parts of structures","preces"
"44211000-2","Saliekamās būvkonstrukcijas.","Prefabricated buildings","preces"
"44211100-3","Modulāras un pārvietojamas konstrukcijas.","Modular and portable buildings","preces"
"44211110-6","Kabīnes.","Cabins","preces"
"44211200-4","Mazās kabīnes.","Cubicles","preces"
"44211300-5","Lauka hospitālis.","Field hospital","preces"
"44211400-6","Lauka virtuves.","Field kitchens","preces"
"44211500-7","Siltumnīcas.","Glasshouses","preces"
"44212000-9","Konstrukciju izstrādājumi un detaļas, izņemot saliekamās būvkonstrukcijas.","Structural products and parts except prefabricated buildings","preces"
"44212100-0","Tilts.","Bridge","preces"
"44212110-3","Tilktu sekcijas.","Bridge sections","preces"
"44212120-6","Tiltu konstrukcijas.","Structures of bridges","preces"
"44212200-1","Torņi, režģu masti, celtņi un piloni.","Towers, lattice masts, derricks and pylons","preces"
"44212210-4","Derika celtņi.","Derricks","preces"
"44212211-1","Urbjtorņi.","Drilling derricks","preces"
"44212212-8","Stacionāri urbjtorņi.","Static drilling derricks","preces"
"44212220-7","Piloni, stabi un mieti.","Pylons, poles and pickets","preces"
"44212221-4","Piloni.","Pylons","preces"
"44212222-1","Elektropārvades piloni.","Electricity transmission pylons","preces"
"44212223-8","Pilonu atbalsta konstrukcijas.","Pylon supports","preces"
"44212224-5","Gaisvadu līniju stabi.","Poles for carrying overhead lines","preces"
"44212225-2","Stabi (pāļi).","Poles","preces"
"44212226-9","Elektrības stabi.","Electricity poles","preces"
"44212227-6","Mieti.","Pickets","preces"
"44212230-0","Torņi.","Towers","preces"
"44212233-1","Ūdenstorņi.","Water towers","preces"
"44212240-3","Sijas.","Girders","preces"
"44212250-6","Torņi (masti).","Masts","preces"
"44212260-9","Radio vai televīzijas torņi.","Radio or television masts","preces"
"44212261-6","Radio torņi.","Radio masts","preces"
"44212262-3","Televīzijas torņi.","Television masts","preces"
"44212263-0","Režģu konstrukcijas.","Lattice masts","preces"
"44212300-2","Konstrukcijas un detaļas.","Structures and parts","preces"
"44212310-5","Sastatnes.","Scaffolding","preces"
"44212311-2","Arku statnes.","Arch struts","preces"
"44212312-9","Arku balsti.","Arch stilts","preces"
"44212313-6","Stiprinājumi.","Supports","preces"
"44212314-3","Cauruļvadu atbalsta kronšteini.","Pipe-hanging brackets","preces"
"44212315-0","Aprīkojums sastatnēm.","Equipment for scaffolding","preces"
"44212316-7","Arku spailes.","Arch clips","preces"
"44212317-4","Sastatņu konstrukcijas.","Scaffolding structures","preces"
"44212318-1","Cauruļvadu balsti.","Pipeline supports","preces"
"44212320-8","Dažādas konstrukcijas.","Miscellaneous structures","preces"
"44212321-5","Autobusu pieturvietu nojumes.","Bus shelters","preces"
"44212322-2","Telefona būdiņas.","Telephone booths","preces"
"44212329-1","Drošības aizslietņi.","Security screens","preces"
"44212380-6","Konstrukciju detaļas.","Parts of structures","preces"
"44212381-3","Apšuvums.","Cladding","preces"
"44212382-0","Aizsprosti.","Floodgates","preces"
"44212383-7","Aizsprosta vārti.","Lock gates","preces"
"44212390-9","Slūžas.","Sluices","preces"
"44212391-6","Slūžu vārti.","Sluice gates","preces"
"44212400-3","Pāļi.","Piling","preces"
"44212410-6","Rievkonstrukcijas.","Sheet piling","preces"
"44212500-4","Leņķi un sekcijas.","Angles and sections","preces"
"44212510-7","Leņķi.","Angles","preces"
"44212520-0","Sekcijas.","Sections","preces"
"44220000-8","Konstrukciju galdniecības darbi.","Builders' joinery","preces"
"44221000-5","Logi, durvis un saistītie izstrādājumi.","Windows, doors and related items","preces"
"44221100-6","Logi.","Windows","preces"
"44221110-9","Logu rāmji.","Window frames","preces"
"44221111-6","Dubultstikla izstrādājumi.","Double-glazed units","preces"
"44221120-2","Stiklotas durvis.","French windows","preces"
"44221200-7","Durvis.","Doors","preces"
"44221210-0","Durvju ailes.","Door blanks","preces"
"44221211-7","Durvju rāmji.","Door frames","preces"
"44221212-4","Durvju plates.","Door screens","preces"
"44221213-1","Durvju sliekšņi.","Door thresholds","preces"
"44221220-3","Ugunsdrošas durvis.","Fire doors","preces"
"44221230-6","Slīdošās durvis.","Sliding doors","preces"
"44221240-9","Garāžu durvis.","Garage doors","preces"
"44221300-8","Vārti.","Gates","preces"
"44221310-1","Iebrauktuves vārti.","Access gates","preces"
"44221400-9","Slēģi.","Shutters","preces"
"44221500-0","Sliekšņi.","Thresholds","preces"
"44230000-1","Konstrukciju namdaru darbi.","Builders' carpentry","preces"
"44231000-8","Gatavas nožogojuma plātnes.","Made-up fencing panels","preces"
"44232000-5","Jumta koka brusas.","Timber roof trusses","preces"
"44233000-2","Trepes.","Staircases","preces"
"44300000-3","Kabeļi, stieples un saistītie izstrādājumi.","Cable, wire and related products","preces"
"44310000-6","Stiepļu izstrādājumi.","Wire products","preces"
"44311000-3","Troses.","Stranded wire","preces"
"44312000-0","Nožogojumu stieples.","Fencing wire","preces"
"44312300-3","Dzeloņstieples.","Barbed wire","preces"
"44313000-7","Metāla tīkli.","Metal netting","preces"
"44313100-8","Stiepļu sieta nožogojums.","Wire-mesh fencing","preces"
"44313200-9","Stiepļaudums.","Wire cloth","preces"
"44315000-1","Velmētas stieples.","Wire rods","preces"
"44315100-2","Metināšanas piederumi.","Welding accessories","preces"
"44315200-3","Metināšanas materiāli.","Welding materials","preces"
"44315300-4","Mīkstlodēšanas un cietlodēšanas materiāli.","Soldering or brazing materials","preces"
"44315310-7","Mīkstlodēšanas materiāli.","Soldering materials","preces"
"44315320-0","Cietlodēšanas materiāli.","Brazing materials","preces"
"44316000-8","Būvkalumi.","Ironmongery","preces"
"44316100-9","Laktas.","Anvils","preces"
"44316200-0","Pārvietojamās smēdes.","Portable forge","preces"
"44316300-1","Režģi.","Grilles","preces"
"44316400-2","Dzelzs izstrādājumi.","Hardware","preces"
"44316500-3","Metālkalumi.","Smiths' wares","preces"
"44316510-6","Dzelzs kalumi.","Blacksmiths' wares","preces"
"44317000-5","Dzelzs vai tērauda cilpas.","Iron or steel slings","preces"
"44318000-2","Vadītāji.","Conductors","preces"
"44320000-9","Kabeļi un saistītie izstrādājumi.","Cable and related products","preces"
"44321000-6","Kabeļi.","Cable","preces"
"44322000-3","Kabeļu piederumi.","Cable accessories","preces"
"44322100-4","Kabeļu izolācijas caurules.","Cable conduits","preces"
"44322200-5","Kabeļu savienotāji.","Cable connectors","preces"
"44322300-6","Kabeļcaurules.","Cable ducts","preces"
"44322400-7","Kabeļu stiprinājumi.","Cable fasteners","preces"
"44330000-2","Stieņi, apaļstieņi, stieples un profili, ko izmanto būvniecībā.","Bars, rods, wire and profiles used in construction","preces"
"44331000-9","Stieņi (apaļstieņi).","Bars","preces"
"44332000-6","Apaļstieņi (būvniecība).","Rods (construction)","preces"
"44333000-3","Stieples.","Wire","preces"
"44334000-0","Profili.","Profiles","preces"
"44400000-4","Dažādi ražojumi un saistīti izstrādājumi.","Miscellaneous fabricated products and related items","preces"
"44410000-7","Vannasistabas un virtuves piederumi.","Articles for the bathroom and kitchen","preces"
"44411000-4","Santehnika.","Sanitary ware","preces"
"44411100-5","Krāni.","Taps","preces"
"44411200-6","Vannas.","Baths","preces"
"44411300-7","Mazgājamās bļodas.","Washbasins","preces"
"44411400-8","Dušu vannas.","Shower basins","preces"
"44411600-0","Bidē.","Bidets","preces"
"44411700-1","Klozetu sēdekļi, vāki, tualetes podi, izlietnes un skalojamās kastes.","Lavatory seats, covers, bowls and cisterns","preces"
"44411710-4","Klozetu sēdekļi.","Lavatory seats","preces"
"44411720-7","Klozetu vāki.","Lavatory covers","preces"
"44411740-3","Izlietnes.","Lavatory bowls","preces"
"44411750-6","Skalojamās kastes.","Lavatory cisterns","preces"
"44411800-2","Pisuāri.","Urinals","preces"
"44420000-0","Celtniecībā izmantojami izstrādājumi","Goods used in construction","preces"
"44421000-7","Bruņu vai nostiprinātie seifi, kastes un durvis.","Armoured or reinforced safes, strongboxes and doors","preces"
"44421300-0","Seifi.","Safes","preces"
"44421500-2","Bruņu vai nostiprinātās durvis.","Armoured or reinforced doors","preces"
"44421600-3","Seifu skapīši.","Safe-deposit lockers","preces"
"44421700-4","Bagāžas glabātuves skapīši un slēdzamie skapīši.","Boxes and lockers","preces"
"44421710-7","Bagāžas glabātuves skapīši.","Left-luggage lockers","preces"
"44421720-0","Slēdzamie skapīši.","Lockers","preces"
"44421721-7","Seifu kastītes.","Safe-deposit boxes","preces"
"44421722-4","Seifu kastes.","Safety cases","preces"
"44421780-8","Seifi dokumentu glabāšanai.","Deed boxes","preces"
"44421790-1","Seifi naudas glabāšanai.","Cash boxes","preces"
"44422000-4","Pastkastītes.","Letterboxes","preces"
"44423000-1","Dažādi izstrādājumi.","Miscellaneous articles","preces"
"44423100-2","Zvani.","Bells","preces"
"44423200-3","Kāpnes.","Ladders","preces"
"44423220-9","Saliekamās kāpnes.","Folding steps","preces"
"44423230-2","Paaugstinājumi.","Step stools","preces"
"44423300-4","Preču pārvietošanas aprīkojums.","Goods-handling equipment","preces"
"44423330-3","Platformas preču pārvietošanai.","Platforms for handling goods","preces"
"44423340-6","Stiepļu trošu piederumi preču pārvietošanai.","Wire-rope accessories for handling goods","preces"
"44423400-5","Zīmes un saistītie priekšmeti.","Signs and related items","preces"
"44423450-0","Vārdu plāksnītes.","Nameplates","preces"
"44423460-3","Adrešu plāksnītes.","Address plates","preces"
"44423700-8","Lūku elementi.","Manhole elements","preces"
"44423710-1","Lūku virszemes atveres.","Surface boxes","preces"
"44423720-4","Virszemes kārbas.","Boundary boxes","preces"
"44423730-7","Lūku rāmji.","Manhole frames","preces"
"44423740-0","Lūku vāki.","Manhole covers","preces"
"44423750-3","Noteku pārsedzes.","Drain covers","preces"
"44423760-6","Piekļuves lūku segumi.","Access covers","preces"
"44423790-5","Lūku dzelzs trepes.","Manhole step irons","preces"
"44423800-9","Metāla spiedogi.","Metal stamps","preces"
"44423810-2","Gumijas zīmogi.","Rubber stamps","preces"
"44423850-4","Formas.","Shapes","preces"
"44423900-0","Pretkorozijas aizsardzības anodi.","Sacrificial anodes","preces"
"44424000-8","Mērinstrumentu apvalki un līmlente.","Meter-housing boxes and tape","preces"
"44424100-9","Apvalku kastes mērinstrumentiem.","Meter-housing boxes","preces"
"44424200-0","Līmlente.","Adhesive tape","preces"
"44424300-1","Atstarojošā lente.","Reflective tape","preces"
"44425000-5","Apļi, aizslēgi, siksnas, plastmasas irbulīši un javas iesaiņojums.","Rings, seals, bands, sticks and grout packers","preces"
"44425100-6","Elastīgie apļi.","Elastic rings","preces"
"44425110-9","Pašlīmējošie stiprinošie apļi.","Self-adhesive reinforcement rings","preces"
"44425200-7","Gumijas aizslēgi.","Rubber seals","preces"
"44425300-8","Gumijas siksnas.","Rubber bands","preces"
"44425400-9","Javas iesaiņojums.","Grout packers","preces"
"44425500-0","Plastmasas irbulīši.","Plastic sticks","preces"
"44430000-3","Bruņu plātnes.","Armour plating","preces"
"44431000-0","Pārklājuma plātnes.","Cover plates","preces"
"44440000-6","Gultņi.","Bearings","preces"
"44441000-3","Mikrolodītes.","Microbeads","preces"
"44442000-0","Rullīšu gultņi.","Roller bearings","preces"
"44450000-9","Oglekli saturošs mīkstais tērauds.","Mild steel","preces"
"44451000-6","Monētu matricas.","Coin blanks","preces"
"44452000-3","Monētu kastes.","Coin boxes","preces"
"44460000-2","Balsti un raktuvju statnes.","Props and mining struts","preces"
"44461000-9","Balsti.","Props","preces"
"44461100-0","Šahtu balsti.","Mine props","preces"
"44462000-6","Raktuvju statnes.","Mining struts","preces"
"44464000-0","Kāpurķēdes.","Caterpillar tracks","preces"
"44470000-5","Čuguna izstrādājumi.","Cast-iron products","preces"
"44480000-8","Dažādi ugunsdrošības līdzekļi.","Miscellaneous fire-protection equipment","preces"
"44481000-5","Platformas kāpnes.","Platforms ladders","preces"
"44481100-6","Ugunsdzēsēju kāpnes.","Fire ladders","preces"
"44482000-2","Ugunsdrošības līdzekļi.","Fire-protection devices","preces"
"44482100-3","Ugunsdzēsības šļūtenes.","Fire hoses","preces"
"44482200-4","Ugunsdzēsības krāni.","Fire hydrants","preces"
"44500000-5","Instrumenti, slēdzenes, atslēgas, eņģes, aizbīdņi, ķēdes un atsperes.","Tools, locks, keys, hinges, fasteners, chain and springs","preces"
"44510000-8","Instrumenti.","Tools","preces"
"44511000-5","Rokas instrumenti.","Hand tools","preces"
"44511100-6","Lāpstas un liekšķeres.","Spades and shovels","preces"
"44511110-9","Lāpstas.","Spades","preces"
"44511120-2","Liekšķeres.","Shovels","preces"
"44511200-7","Dārza dakšas.","Gardening forks","preces"
"44511300-8","Kapļi, cērtes, smailkapļi, grābekļi un pludmales grābekļi.","Mattocks, picks, hoes, rakes and beach rakes","preces"
"44511310-1","Kapļi.","Mattocks","preces"
"44511320-4","Cērtes.","Picks","preces"
"44511330-7","Smailkapļi.","Hoes","preces"
"44511340-0","Grābekļi.","Rakes","preces"
"44511341-7","Pludmales grābekļi.","Beach rakes","preces"
"44511400-9","Cirvji.","Axes","preces"
"44511500-0","Rokas zāģi.","Hand saws","preces"
"44511510-3","Rokas zāģu asmeņi.","Handsaw blades","preces"
"44512000-2","Dažādi rokas instrumenti.","Miscellaneous hand tools","preces"
"44512100-3","Kalti.","Chisels","preces"
"44512200-4","Knaibles.","Pliers","preces"
"44512210-7","Gofrknaibles.","Crimping pliers","preces"
"44512300-5","Āmuri.","Hammers","preces"
"44512400-6","Stiepļu spīles.","Wire grips","preces"
"44512500-7","Uzgriežņu atslēgas.","Spanners","preces"
"44512600-8","Ceļu remonta instrumenti.","Roadworking tools","preces"
"44512610-1","Ķīļi ceļa seguma uzlaušanai.","Spikes for piercing road surfaces","preces"
"44512700-9","Vīles un skrāpvīles.","Files or rasps","preces"
"44512800-0","Skrūvgrieži.","Screwdrivers","preces"
"44512900-1","Urbju un skrūvgriežu svārpsti un citi piederumi.","Drill bits, screwdriver bits and other accessories","preces"
"44512910-4","Urbju svārpsti.","Drill bits","preces"
"44512920-7","Skrūvgriežu svārpsti.","Screwdriver bits","preces"
"44512930-0","Instrumentu nesamie.","Tool carriers","preces"
"44512940-3","Instrumentu komplekti.","Tool kits","preces"
"44513000-9","Ar paminu darbināmi instrumenti.","Treadle-operated tools","preces"
"44514000-6","Instrumentu rokturi un detaļas.","Tool handles and tool parts","preces"
"44514100-7","Instrumentu rokturi.","Tool handles","preces"
"44514200-8","Instrumentu detaļas.","Tool parts","preces"
"44520000-1","Slēdzenes, atslēgas un eņģes.","Locks, keys and hinges","preces"
"44521000-8","Dažādas piekaramās atslēgas un slēdzenes.","Miscellaneous padlocks and locks","preces"
"44521100-9","Slēdzenes.","Locks","preces"
"44521110-2","Durvju slēdzenes.","Door locks","preces"
"44521120-5","Elektroniskas drošības slēdzenes.","Electronic security lock","preces"
"44521130-8","Pastiprinātas drošības slēdzenes.","Enhanced security lock","preces"
"44521140-1","Mēbeļu slēdzenes.","Furniture locks","preces"
"44521200-0","Piekaramās atslēgas un ķēdes.","Padlocks and chains","preces"
"44521210-3","Piekaramās atslēgas.","Padlocks","preces"
"44522000-5","Skavas, slēdzeņu detaļas un atslēgas.","Clasps, lock parts and keys","preces"
"44522100-6","Skavas.","Clasps","preces"
"44522200-7","Atslēgas.","Keys","preces"
"44522300-8","Piekaramo atslēgu detaļas.","Parts of padlocks","preces"
"44522400-9","Slēdzeņu detaļas.","Parts of locks","preces"
"44523000-2","Eņģes, ietvari un piederumi.","Hinges, mountings and fittings","preces"
"44523100-3","Eņģes.","Hinges","preces"
"44523200-4","Ietvari.","Mountings","preces"
"44523300-5","Piederumi.","Fittings","preces"
"44530000-4","Aizdares.","Fasteners","preces"
"44531000-1","Vītņotie stiprinājumi.","Threaded fasteners","preces"
"44531100-2","Kokskrūves.","Wood screws","preces"
"44531200-3","Pieskrūvējamie āķi vai riņķi.","Screw hooks or screw rings","preces"
"44531300-4","Pašvītņotājskrūves.","Self-tapping screws","preces"
"44531400-5","Skrūves.","Bolts","preces"
"44531500-6","Atloku savienojumu komplekti.","Flange jointing sets","preces"
"44531510-9","Bultskrūves un skrūves.","Bolts and screws","preces"
"44531520-2","Sešstūrgalvas kokskrūves.","Coach bolts and screws","preces"
"44531600-7","Uzgriežņi.","Nuts","preces"
"44531700-8","Vītņoti dzelzs vai tērauda izstrādājumi.","Iron or steel threaded articles","preces"
"44532000-8","Stiprinājumi bez vītnēm.","Non-threaded fasteners","preces"
"44532100-9","Kniedes.","Rivets","preces"
"44532200-0","Paplāksnes.","Washers","preces"
"44532300-1","Šķelttapas.","Cotter pins","preces"
"44532400-2","Tērauda savienojumu plāksnes.","Steel fishplates","preces"
"44533000-5","Vara stiprinājumi.","Copper fasteners","preces"
"44540000-7","Ķēdes.","Chain","preces"
"44541000-4","Šarnīrķēdes.","Articulated chain","preces"
"44542000-1","Ķēdes daļas.","Parts of chain","preces"
"44550000-0","Atsperes.","Springs","preces"
"44600000-6","Cisternas, rezervuāri un tvertnes; centrālapkures radiatori un katli.","Tanks, reservoirs and containers; central-heating radiators and boilers","preces"
"44610000-9","Cisternas, rezervuāri, tvertnes un augstspiediena tvertnes.","Tanks, reservoirs, containers and pressure vessels","preces"
"44611000-6","Cisternas.","Tanks","preces"
"44611100-7","Gaisa cilindri.","Air cylinders","preces"
"44611110-0","Saspiesta gaisa cilindri.","Compressed-air cylinders","preces"
"44611200-8","Elpošanas aparāti.","Breathing apparatus","preces"
"44611400-0","Uzglabāšanas cisternas.","Storage tanks","preces"
"44611410-3","Eļļas uzglabāšanas cisternas.","Oil-storage tanks","preces"
"44611420-6","Notekūdeņu nogulšņu uzglabāšanas cisternas.","Sludge-storage tanks","preces"
"44611500-1","Ūdens cisternas.","Water tanks","preces"
"44611600-2","Rezervuāri.","Reservoirs","preces"
"44612000-3","Sašķidrinātās gāzes tvertnes.","Liquefied-gas containers","preces"
"44612100-4","Gāzes baloni.","Gas cylinders","preces"
"44612200-5","Gāzes cisternas.","Gas tanks","preces"
"44613000-0","Lielas tvertnes.","Large containers","preces"
"44613110-4","Silosi.","Silos","preces"
"44613200-2","Saldēšanas tvertnes.","Refrigerated containers","preces"
"44613210-5","Ūdens kameras.","Water chambers","preces"
"44613300-3","Standarta kravu konteineri.","Standard freight containers","preces"
"44613400-4","Uzglabāšanas konteineri.","Storage containers","preces"
"44613500-5","Ūdens tvertnes.","Water containers","preces"
"44613600-6","Konteineri uz riteņiem.","Wheeled containers","preces"
"44613700-7","Konteineri atkritumu izvešanai.","Refuse skips","preces"
"44613800-8","Konteineri ražošanas atkritumiem.","Containers for waste material","preces"
"44614000-7","Mucas.","Casks","preces"
